NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Cuculus canorus,Kuckuck,bw10,2024,2024-06-08,1,non_breeder,160
Cuculus canorus,Kuckuck,bw10,2024,2024-03-11,0,non_breeder,71
Cuculus canorus,Kuckuck,bw10,2024,2024-04-05,0,non_breeder,96
Cuculus canorus,Kuckuck,bw10,2024,2024-05-04,3,non_breeder,125
Cuculus canorus,Kuckuck,bw10,2024,2024-04-04,0,non_breeder,95
Cuculus canorus,Kuckuck,bw10,2025,2025-04-16,0,non_breeder,106
Cuculus canorus,Kuckuck,bw10,2025,2025-05-31,3,non_breeder,151
Cuculus canorus,Kuckuck,bw10,2025,2025-03-23,0,non_breeder,82
Cuculus canorus,Kuckuck,bw10,2025,2025-05-11,0,non_breeder,131
Cuculus canorus,Kuckuck,bw100,2025,2025-04-13,0,non_breeder,103
Cuculus canorus,Kuckuck,bw100,2025,2025-05-18,1,non_breeder,138
Cuculus canorus,Kuckuck,bw100,2025,2025-06-19,1,non_breeder,170
Cuculus canorus,Kuckuck,bw100,2025,2025-03-16,0,non_breeder,75
Cuculus canorus,Kuckuck,bw101,2022,2022-03-27,0,non_breeder,86
Cuculus canorus,Kuckuck,bw101,2022,2022-04-17,0,non_breeder,107
Cuculus canorus,Kuckuck,bw101,2022,2022-05-20,1,non_breeder,140
Cuculus canorus,Kuckuck,bw101,2022,2022-06-20,0,non_breeder,171
Cuculus canorus,Kuckuck,bw103,2023,2023-04-23,0,non_breeder,113
Cuculus canorus,Kuckuck,bw103,2023,2023-05-18,1,non_breeder,138
Cuculus canorus,Kuckuck,bw103,2023,2023-06-09,0,non_breeder,160
Cuculus canorus,Kuckuck,bw103,2023,2023-03-27,0,non_breeder,86
Cuculus canorus,Kuckuck,bw103,2024,2024-05-20,1,non_breeder,141
Cuculus canorus,Kuckuck,bw103,2024,2024-06-03,0,non_breeder,155
Cuculus canorus,Kuckuck,bw103,2024,2024-03-25,0,non_breeder,85
Cuculus canorus,Kuckuck,bw103,2024,2024-04-22,0,non_breeder,113
Cuculus canorus,Kuckuck,bw104,2022,2022-05-30,1,non_breeder,150
Cuculus canorus,Kuckuck,bw104,2022,2022-05-11,1,non_breeder,131
Cuculus canorus,Kuckuck,bw104,2022,2022-03-21,0,non_breeder,80
Cuculus canorus,Kuckuck,bw104,2022,2022-04-13,0,non_breeder,103
Cuculus canorus,Kuckuck,bw104,2023,2023-06-09,1,non_breeder,160
Cuculus canorus,Kuckuck,bw104,2023,2023-04-27,1,non_breeder,117
Cuculus canorus,Kuckuck,bw104,2023,2023-05-18,2,non_breeder,138
Cuculus canorus,Kuckuck,bw104,2023,2023-03-21,0,non_breeder,80
Cuculus canorus,Kuckuck,bw104,2023,2023-06-08,0,non_breeder,159
Cuculus canorus,Kuckuck,bw104,2024,2024-06-12,0,non_breeder,164
Cuculus canorus,Kuckuck,bw104,2024,2024-05-14,0,non_breeder,135
Cuculus canorus,Kuckuck,bw104,2024,2024-03-19,0,non_breeder,79
Cuculus canorus,Kuckuck,bw104,2024,2024-04-13,1,non_breeder,104
Cuculus canorus,Kuckuck,bw104,2025,2025-05-13,1,non_breeder,133
Cuculus canorus,Kuckuck,bw104,2025,2025-06-17,0,non_breeder,168
Cuculus canorus,Kuckuck,bw104,2025,2025-04-11,0,non_breeder,101
Cuculus canorus,Kuckuck,bw104,2025,2025-03-21,0,non_breeder,80
Cuculus canorus,Kuckuck,bw104,2025,2025-04-10,0,non_breeder,100
Cuculus canorus,Kuckuck,bw104,2025,2025-05-12,0,non_breeder,132
Cuculus canorus,Kuckuck,bw106,2020,2020-04-19,0,non_breeder,110
Cuculus canorus,Kuckuck,bw106,2020,2020-05-17,3,non_breeder,138
Cuculus canorus,Kuckuck,bw106,2020,2020-03-27,0,non_breeder,87
Cuculus canorus,Kuckuck,bw106,2020,2020-06-19,0,non_breeder,171
Cuculus canorus,Kuckuck,bw107,2023,2023-05-07,1,non_breeder,127
Cuculus canorus,Kuckuck,bw107,2023,2023-03-19,0,non_breeder,78
Cuculus canorus,Kuckuck,bw107,2023,2023-04-10,0,non_breeder,100
Cuculus canorus,Kuckuck,bw107,2023,2023-05-28,0,non_breeder,148
Cuculus canorus,Kuckuck,bw107,2024,2024-05-12,0,non_breeder,133
Cuculus canorus,Kuckuck,bw107,2024,2024-06-09,0,non_breeder,161
Cuculus canorus,Kuckuck,bw107,2024,2024-03-30,0,non_breeder,90
Cuculus canorus,Kuckuck,bw107,2024,2024-05-01,1,non_breeder,122
Cuculus canorus,Kuckuck,bw110,2024,2024-03-31,0,non_breeder,91
Cuculus canorus,Kuckuck,bw110,2024,2024-05-15,0,non_breeder,136
Cuculus canorus,Kuckuck,bw110,2024,2024-04-27,1,non_breeder,118
Cuculus canorus,Kuckuck,bw110,2024,2024-06-26,0,non_breeder,178
Cuculus canorus,Kuckuck,bw115,2021,2021-03-21,0,non_breeder,80
Cuculus canorus,Kuckuck,bw115,2021,2021-04-18,0,non_breeder,108
Cuculus canorus,Kuckuck,bw115,2021,2021-05-09,1,non_breeder,129
Cuculus canorus,Kuckuck,bw115,2021,2021-05-30,1,non_breeder,150
Cuculus canorus,Kuckuck,bw115,2022,2022-03-13,0,non_breeder,72
Cuculus canorus,Kuckuck,bw115,2022,2022-04-10,0,non_breeder,100
Cuculus canorus,Kuckuck,bw115,2022,2022-06-06,1,non_breeder,157
Cuculus canorus,Kuckuck,bw115,2022,2022-05-01,1,non_breeder,121
Cuculus canorus,Kuckuck,bw115,2023,2023-03-11,0,non_breeder,70
Cuculus canorus,Kuckuck,bw115,2023,2023-04-15,0,non_breeder,105
Cuculus canorus,Kuckuck,bw115,2023,2023-05-01,1,non_breeder,121
Cuculus canorus,Kuckuck,bw115,2023,2023-06-11,1,non_breeder,162
Cuculus canorus,Kuckuck,bw115,2024,2024-03-10,0,non_breeder,70
Cuculus canorus,Kuckuck,bw115,2024,2024-05-26,0,non_breeder,147
