NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Falco subbuteo,Baumfalke,bw140,2025,2025-05-24,0,non_breeder,144
Falco subbuteo,Baumfalke,bw140,2025,2025-04-05,0,non_breeder,95
Falco subbuteo,Baumfalke,bw140,2025,2025-05-06,1,non_breeder,126
Falco subbuteo,Baumfalke,bw140,2025,2025-03-16,0,non_breeder,75
Falco subbuteo,Baumfalke,bw200,2025,2025-05-23,0,non_breeder,143
Falco subbuteo,Baumfalke,bw200,2025,2025-06-17,0,non_breeder,168
Falco subbuteo,Baumfalke,bw200,2025,2025-03-19,0,non_breeder,78
Falco subbuteo,Baumfalke,bw200,2025,2025-04-15,1,non_breeder,105
Falco subbuteo,Baumfalke,bw245,2024,2024-04-08,0,non_breeder,99
Falco subbuteo,Baumfalke,bw245,2024,2024-03-18,0,non_breeder,78
Falco subbuteo,Baumfalke,bw245,2024,2024-05-01,1,non_breeder,122
Falco subbuteo,Baumfalke,bw265,2021,2021-03-27,0,non_breeder,86
Falco subbuteo,Baumfalke,bw265,2021,2021-04-24,0,non_breeder,114
Falco subbuteo,Baumfalke,bw265,2021,2021-06-19,0,non_breeder,170
Falco subbuteo,Baumfalke,bw265,2021,2021-05-15,1,non_breeder,135
Falco subbuteo,Baumfalke,bw276,2024,2024-03-30,1,non_breeder,90
Falco subbuteo,Baumfalke,bw276,2024,2024-04-30,0,non_breeder,121
Falco subbuteo,Baumfalke,bw276,2024,2024-05-25,0,non_breeder,146
Falco subbuteo,Baumfalke,bw276,2024,2024-06-25,0,non_breeder,177
Falco subbuteo,Baumfalke,bw276,2024,2024-06-24,0,non_breeder,176
Falco subbuteo,Baumfalke,bw28,2025,2025-05-06,2,non_breeder,126
Falco subbuteo,Baumfalke,bw28,2025,2025-03-11,0,non_breeder,70
Falco subbuteo,Baumfalke,bw28,2025,2025-04-01,0,non_breeder,91
Falco subbuteo,Baumfalke,bw28,2025,2025-06-02,1,non_breeder,153
Falco subbuteo,Baumfalke,bw29,2023,2023-03-27,0,non_breeder,86
Falco subbuteo,Baumfalke,bw29,2023,2023-04-29,0,non_breeder,119
Falco subbuteo,Baumfalke,bw29,2023,2023-05-18,0,non_breeder,138
Falco subbuteo,Baumfalke,bw29,2023,2023-06-18,1,non_breeder,169
Falco subbuteo,Baumfalke,bw315,2021,2021-04-25,1,non_breeder,115
Falco subbuteo,Baumfalke,bw315,2021,2021-05-16,0,non_breeder,136
Falco subbuteo,Baumfalke,bw315,2021,2021-06-13,0,non_breeder,164
Falco subbuteo,Baumfalke,bw315,2021,2021-03-28,0,non_breeder,87
Falco subbuteo,Baumfalke,bw318,2021,2021-03-24,0,non_breeder,83
Falco subbuteo,Baumfalke,bw318,2021,2021-04-18,0,non_breeder,108
Falco subbuteo,Baumfalke,bw318,2021,2021-05-09,0,non_breeder,129
Falco subbuteo,Baumfalke,bw318,2021,2021-06-04,1,non_breeder,155
Falco subbuteo,Baumfalke,bw321,2023,2023-06-09,0,non_breeder,160
Falco subbuteo,Baumfalke,bw321,2023,2023-05-13,2,non_breeder,133
Falco subbuteo,Baumfalke,bw321,2023,2023-03-29,0,non_breeder,88
Falco subbuteo,Baumfalke,bw321,2023,2023-04-18,0,non_breeder,108
Falco subbuteo,Baumfalke,bw321,2025,2025-03-20,0,non_breeder,79
Falco subbuteo,Baumfalke,bw321,2025,2025-04-10,0,non_breeder,100
Falco subbuteo,Baumfalke,bw321,2025,2025-05-08,1,non_breeder,128
Falco subbuteo,Baumfalke,bw321,2025,2025-06-05,0,non_breeder,156
Falco subbuteo,Baumfalke,bw374,2024,2024-04-24,1,non_breeder,115
Falco subbuteo,Baumfalke,bw374,2024,2024-03-19,0,non_breeder,79
Falco subbuteo,Baumfalke,bw374,2024,2024-05-14,0,non_breeder,135
Falco subbuteo,Baumfalke,bw374,2024,2024-06-05,0,non_breeder,157
Falco subbuteo,Baumfalke,bw384,2025,2025-05-29,1,non_breeder,149
Falco subbuteo,Baumfalke,bw384,2025,2025-05-10,0,non_breeder,130
Falco subbuteo,Baumfalke,bw384,2025,2025-03-23,0,non_breeder,82
Falco subbuteo,Baumfalke,bw384,2025,2025-04-08,0,non_breeder,98
Falco subbuteo,Baumfalke,bw392,2025,2025-03-28,0,non_breeder,87
Falco subbuteo,Baumfalke,bw392,2025,2025-04-09,0,non_breeder,99
Falco subbuteo,Baumfalke,bw392,2025,2025-05-07,0,non_breeder,127
Falco subbuteo,Baumfalke,bw392,2025,2025-06-11,1,non_breeder,162
Falco subbuteo,Baumfalke,bw412,2022,2022-05-11,1,non_breeder,131
Falco subbuteo,Baumfalke,bw412,2022,2022-06-01,0,non_breeder,152
Falco subbuteo,Baumfalke,bw412,2022,2022-03-01,0,non_breeder,60
Falco subbuteo,Baumfalke,bw412,2022,2022-04-20,0,non_breeder,110
Falco subbuteo,Baumfalke,bw61,2025,2025-03-15,0,non_breeder,74
Falco subbuteo,Baumfalke,bw61,2025,2025-04-19,0,non_breeder,109
Falco subbuteo,Baumfalke,bw61,2025,2025-05-03,0,non_breeder,123
Falco subbuteo,Baumfalke,bw61,2025,2025-05-30,1,non_breeder,150
Falco subbuteo,Baumfalke,bw62,2025,2025-04-15,0,non_breeder,105
Falco subbuteo,Baumfalke,bw62,2025,2025-05-07,0,non_breeder,127
Falco subbuteo,Baumfalke,bw62,2025,2025-06-05,1,non_breeder,156
Falco subbuteo,Baumfalke,bw62,2025,2025-03-13,0,non_breeder,72
Falco subbuteo,Baumfalke,bw73,2024,2024-06-08,1,non_breeder,160
Falco subbuteo,Baumfalke,bw73,2024,2024-04-27,0,non_breeder,118
Falco subbuteo,Baumfalke,bw73,2024,2024-05-10,0,non_breeder,131
Falco subbuteo,Baumfalke,bw73,2024,2024-03-30,0,non_breeder,90
Falco subbuteo,Baumfalke,bw73,2024,2024-04-26,0,non_breeder,117
Falco subbuteo,Baumfalke,bw80,2024,2024-04-14,0,non_breeder,105
Falco subbuteo,Baumfalke,bw80,2024,2024-03-26,0,non_breeder,86
Falco subbuteo,Baumfalke,bw80,2024,2024-05-14,1,non_breeder,135
Falco subbuteo,Baumfalke,bw80,2024,2024-06-04,0,non_breeder,156
Falco subbuteo,Baumfalke,bw80,2025,2025-06-12,0,non_breeder,163
Falco subbuteo,Baumfalke,bw80,2025,2025-03-28,0,non_breeder,87
Falco subbuteo,Baumfalke,bw80,2025,2025-04-23,0,non_breeder,113
Falco subbuteo,Baumfalke,bw80,2025,2025-05-15,1,non_breeder,135
Falco subbuteo,Baumfalke,bw81,2023,2023-03-31,1,non_breeder,90
Falco subbuteo,Baumfalke,bw81,2023,2023-04-29,0,non_breeder,119
Falco subbuteo,Baumfalke,bw81,2023,2023-05-20,1,non_breeder,140
Falco subbuteo,Baumfalke,bw81,2023,2023-06-08,0,non_breeder,159
