NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Locustella luscinioides,Rohrschwirl,bw315,2021,2021-04-25,0,non_breeder,115
Locustella luscinioides,Rohrschwirl,bw315,2021,2021-05-16,0,non_breeder,136
Locustella luscinioides,Rohrschwirl,bw315,2021,2021-06-13,1,non_breeder,164
Locustella luscinioides,Rohrschwirl,bw315,2021,2021-03-28,0,non_breeder,87
Locustella luscinioides,Rohrschwirl,bw321,2022,2022-03-25,0,non_breeder,84
Locustella luscinioides,Rohrschwirl,bw321,2022,2022-06-19,1,non_breeder,170
Locustella luscinioides,Rohrschwirl,bw321,2022,2022-04-16,0,non_breeder,106
Locustella luscinioides,Rohrschwirl,bw321,2022,2022-05-14,0,non_breeder,134
Locustella luscinioides,Rohrschwirl,bw321,2023,2023-06-09,1,non_breeder,160
Locustella luscinioides,Rohrschwirl,bw321,2023,2023-05-13,1,non_breeder,133
Locustella luscinioides,Rohrschwirl,bw321,2023,2023-03-29,4,non_breeder,88
Locustella luscinioides,Rohrschwirl,bw321,2023,2023-04-18,0,non_breeder,108
Locustella luscinioides,Rohrschwirl,bw321,2025,2025-03-20,0,non_breeder,79
Locustella luscinioides,Rohrschwirl,bw321,2025,2025-04-10,0,non_breeder,100
Locustella luscinioides,Rohrschwirl,bw321,2025,2025-05-08,0,non_breeder,128
Locustella luscinioides,Rohrschwirl,bw321,2025,2025-06-05,1,non_breeder,156
Locustella luscinioides,Rohrschwirl,bw368,2022,2022-06-11,0,non_breeder,162
Locustella luscinioides,Rohrschwirl,bw368,2022,2022-04-23,1,non_breeder,113
Locustella luscinioides,Rohrschwirl,bw368,2022,2022-05-08,1,non_breeder,128
Locustella luscinioides,Rohrschwirl,bw368,2022,2022-03-20,0,non_breeder,79
Locustella luscinioides,Rohrschwirl,bw368,2025,2025-05-17,0,non_breeder,137
Locustella luscinioides,Rohrschwirl,bw368,2025,2025-06-08,0,non_breeder,159
Locustella luscinioides,Rohrschwirl,bw368,2025,2025-04-20,3,non_breeder,110
Locustella luscinioides,Rohrschwirl,bw368,2025,2025-03-22,0,non_breeder,81
Locustella luscinioides,Rohrschwirl,bw384,2024,2024-05-20,2,non_breeder,141
Locustella luscinioides,Rohrschwirl,bw384,2024,2024-06-16,5,non_breeder,168
Locustella luscinioides,Rohrschwirl,bw384,2024,2024-04-29,4,non_breeder,120
Locustella luscinioides,Rohrschwirl,bw384,2025,2025-05-29,2,non_breeder,149
Locustella luscinioides,Rohrschwirl,bw384,2025,2025-05-10,4,non_breeder,130
Locustella luscinioides,Rohrschwirl,bw384,2025,2025-03-23,0,non_breeder,82
Locustella luscinioides,Rohrschwirl,bw384,2025,2025-04-08,0,non_breeder,98
Locustella luscinioides,Rohrschwirl,bw411,2021,2021-06-04,0,non_breeder,155
Locustella luscinioides,Rohrschwirl,bw411,2021,2021-05-11,0,non_breeder,131
Locustella luscinioides,Rohrschwirl,bw411,2021,2021-04-25,3,non_breeder,115
Locustella luscinioides,Rohrschwirl,bw411,2021,2021-03-28,0,non_breeder,87
