NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Luscinia megarhynchos,Nachtigall,bw18,2021,2021-04-16,0,breeder,106
Luscinia megarhynchos,Nachtigall,bw18,2021,2021-06-14,2,breeder,165
Luscinia megarhynchos,Nachtigall,bw18,2021,2021-05-14,3,breeder,134
Luscinia megarhynchos,Nachtigall,bw18,2022,2022-04-22,9,breeder,112
Luscinia megarhynchos,Nachtigall,bw18,2022,2022-05-12,12,breeder,132
Luscinia megarhynchos,Nachtigall,bw18,2022,2022-03-15,0,breeder,74
Luscinia megarhynchos,Nachtigall,bw18,2022,2022-06-21,0,breeder,172
Luscinia megarhynchos,Nachtigall,bw195,2023,2023-06-10,0,breeder,161
Luscinia megarhynchos,Nachtigall,bw195,2023,2023-04-15,2,breeder,105
Luscinia megarhynchos,Nachtigall,bw195,2023,2023-05-06,0,breeder,126
Luscinia megarhynchos,Nachtigall,bw195,2023,2023-03-17,0,breeder,76
Luscinia megarhynchos,Nachtigall,bw23,2023,2023-03-29,0,breeder,88
Luscinia megarhynchos,Nachtigall,bw23,2023,2023-04-30,4,breeder,120
Luscinia megarhynchos,Nachtigall,bw23,2023,2023-05-20,2,breeder,140
Luscinia megarhynchos,Nachtigall,bw23,2023,2023-06-19,3,breeder,170
Luscinia megarhynchos,Nachtigall,bw23,2024,2024-03-22,0,breeder,82
Luscinia megarhynchos,Nachtigall,bw23,2024,2024-04-30,2,breeder,121
Luscinia megarhynchos,Nachtigall,bw23,2024,2024-05-23,2,breeder,144
Luscinia megarhynchos,Nachtigall,bw23,2025,2025-03-24,0,breeder,83
Luscinia megarhynchos,Nachtigall,bw23,2025,2025-04-24,2,breeder,114
Luscinia megarhynchos,Nachtigall,bw23,2025,2025-05-17,1,breeder,137
Luscinia megarhynchos,Nachtigall,bw23,2025,2025-06-21,0,breeder,172
Luscinia megarhynchos,Nachtigall,bw251,2022,2022-06-13,8,breeder,164
Luscinia megarhynchos,Nachtigall,bw251,2022,2022-03-26,0,breeder,85
Luscinia megarhynchos,Nachtigall,bw251,2022,2022-04-27,11,breeder,117
Luscinia megarhynchos,Nachtigall,bw251,2022,2022-05-09,11,breeder,129
Luscinia megarhynchos,Nachtigall,bw251,2023,2023-05-30,14,breeder,150
Luscinia megarhynchos,Nachtigall,bw251,2023,2023-03-28,0,breeder,87
Luscinia megarhynchos,Nachtigall,bw251,2023,2023-04-26,21,breeder,116
Luscinia megarhynchos,Nachtigall,bw251,2023,2023-05-15,19,breeder,135
Luscinia megarhynchos,Nachtigall,bw251,2024,2024-06-17,8,breeder,169
Luscinia megarhynchos,Nachtigall,bw251,2024,2024-04-22,16,breeder,113
Luscinia megarhynchos,Nachtigall,bw251,2024,2024-03-14,0,breeder,74
Luscinia megarhynchos,Nachtigall,bw251,2024,2024-05-14,19,breeder,135
Luscinia megarhynchos,Nachtigall,bw251,2025,2025-05-19,10,breeder,139
Luscinia megarhynchos,Nachtigall,bw251,2025,2025-06-05,14,breeder,156
Luscinia megarhynchos,Nachtigall,bw251,2025,2025-03-14,0,breeder,73
Luscinia megarhynchos,Nachtigall,bw251,2025,2025-04-30,17,breeder,120
Luscinia megarhynchos,Nachtigall,bw33,2021,2021-05-10,16,breeder,130
Luscinia megarhynchos,Nachtigall,bw33,2021,2021-05-30,12,breeder,150
Luscinia megarhynchos,Nachtigall,bw33,2021,2021-04-25,13,breeder,115
Luscinia megarhynchos,Nachtigall,bw33,2021,2021-03-30,0,breeder,89
