NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Muscicapa striata,Grauschnäpper,bw106,2024,2024-03-21,0,breeder,81
Muscicapa striata,Grauschnäpper,bw106,2024,2024-04-07,0,breeder,98
Muscicapa striata,Grauschnäpper,bw106,2024,2024-05-19,3,breeder,140
Muscicapa striata,Grauschnäpper,bw106,2024,2024-06-20,3,breeder,172
Muscicapa striata,Grauschnäpper,bw106,2025,2025-03-22,0,breeder,81
Muscicapa striata,Grauschnäpper,bw106,2025,2025-04-30,0,breeder,120
Muscicapa striata,Grauschnäpper,bw106,2025,2025-05-19,1,breeder,139
Muscicapa striata,Grauschnäpper,bw106,2025,2025-06-14,0,breeder,165
Muscicapa striata,Grauschnäpper,bw123,2023,2023-03-21,0,breeder,80
Muscicapa striata,Grauschnäpper,bw123,2023,2023-04-22,0,breeder,112
Muscicapa striata,Grauschnäpper,bw123,2023,2023-05-07,0,breeder,127
Muscicapa striata,Grauschnäpper,bw123,2023,2023-06-08,1,breeder,159
Muscicapa striata,Grauschnäpper,bw128,2020,2020-04-18,0,breeder,109
Muscicapa striata,Grauschnäpper,bw128,2020,2020-06-20,3,breeder,172
Muscicapa striata,Grauschnäpper,bw128,2020,2020-03-28,0,breeder,88
Muscicapa striata,Grauschnäpper,bw128,2020,2020-05-19,4,breeder,140
Muscicapa striata,Grauschnäpper,bw128,2021,2021-03-29,0,breeder,88
Muscicapa striata,Grauschnäpper,bw128,2021,2021-04-24,0,breeder,114
Muscicapa striata,Grauschnäpper,bw128,2021,2021-06-15,4,breeder,166
Muscicapa striata,Grauschnäpper,bw128,2021,2021-05-15,1,breeder,135
Muscicapa striata,Grauschnäpper,bw128,2022,2022-04-22,0,breeder,112
Muscicapa striata,Grauschnäpper,bw128,2022,2022-05-08,1,breeder,128
Muscicapa striata,Grauschnäpper,bw128,2022,2022-03-25,0,breeder,84
Muscicapa striata,Grauschnäpper,bw128,2022,2022-06-03,2,breeder,154
Muscicapa striata,Grauschnäpper,bw128,2023,2023-04-14,0,breeder,104
Muscicapa striata,Grauschnäpper,bw128,2023,2023-05-13,1,breeder,133
Muscicapa striata,Grauschnäpper,bw128,2023,2023-03-28,0,breeder,87
Muscicapa striata,Grauschnäpper,bw128,2023,2023-06-02,0,breeder,153
Muscicapa striata,Grauschnäpper,bw13,2020,2020-03-28,0,breeder,88
Muscicapa striata,Grauschnäpper,bw13,2020,2020-05-10,2,breeder,131
Muscicapa striata,Grauschnäpper,bw13,2020,2020-06-05,0,breeder,157
Muscicapa striata,Grauschnäpper,bw13,2020,2020-04-19,0,breeder,110
Muscicapa striata,Grauschnäpper,bw13,2020,2020-04-18,0,breeder,109
Muscicapa striata,Grauschnäpper,bw13,2021,2021-04-18,0,breeder,108
Muscicapa striata,Grauschnäpper,bw13,2021,2021-05-10,2,breeder,130
Muscicapa striata,Grauschnäpper,bw13,2021,2021-03-28,0,breeder,87
Muscicapa striata,Grauschnäpper,bw13,2021,2021-06-05,2,breeder,156
Muscicapa striata,Grauschnäpper,bw13,2021,2021-06-04,0,breeder,155
Muscicapa striata,Grauschnäpper,bw13,2022,2022-03-27,0,breeder,86
Muscicapa striata,Grauschnäpper,bw13,2022,2022-04-15,0,breeder,105
Muscicapa striata,Grauschnäpper,bw13,2022,2022-05-09,1,breeder,129
Muscicapa striata,Grauschnäpper,bw13,2022,2022-06-04,1,breeder,155
Muscicapa striata,Grauschnäpper,bw13,2023,2023-04-15,0,breeder,105
Muscicapa striata,Grauschnäpper,bw13,2023,2023-03-29,0,breeder,88
Muscicapa striata,Grauschnäpper,bw13,2023,2023-05-11,1,breeder,131
Muscicapa striata,Grauschnäpper,bw13,2023,2023-06-08,0,breeder,159
Muscicapa striata,Grauschnäpper,bw147,2024,2024-03-28,0,breeder,88
Muscicapa striata,Grauschnäpper,bw147,2024,2024-06-20,1,breeder,172
Muscicapa striata,Grauschnäpper,bw147,2024,2024-05-11,0,breeder,132
Muscicapa striata,Grauschnäpper,bw147,2024,2024-04-16,0,breeder,107
