NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Muscicapa striata,Grauschnäpper,bw10,2022,2022-06-09,4,non_breeder,160
Muscicapa striata,Grauschnäpper,bw10,2022,2022-05-14,3,non_breeder,134
Muscicapa striata,Grauschnäpper,bw10,2022,2022-03-20,0,non_breeder,79
Muscicapa striata,Grauschnäpper,bw10,2022,2022-04-22,0,non_breeder,112
Muscicapa striata,Grauschnäpper,bw10,2023,2023-04-30,0,non_breeder,120
Muscicapa striata,Grauschnäpper,bw10,2023,2023-05-14,2,non_breeder,134
Muscicapa striata,Grauschnäpper,bw10,2023,2023-05-27,1,non_breeder,147
Muscicapa striata,Grauschnäpper,bw10,2023,2023-03-18,0,non_breeder,77
Muscicapa striata,Grauschnäpper,bw10,2024,2024-06-08,7,non_breeder,160
Muscicapa striata,Grauschnäpper,bw10,2024,2024-03-11,0,non_breeder,71
Muscicapa striata,Grauschnäpper,bw10,2024,2024-04-05,0,non_breeder,96
Muscicapa striata,Grauschnäpper,bw10,2024,2024-05-04,0,non_breeder,125
Muscicapa striata,Grauschnäpper,bw10,2024,2024-04-04,0,non_breeder,95
Muscicapa striata,Grauschnäpper,bw10,2025,2025-04-16,0,non_breeder,106
Muscicapa striata,Grauschnäpper,bw10,2025,2025-05-31,6,non_breeder,151
Muscicapa striata,Grauschnäpper,bw10,2025,2025-03-23,0,non_breeder,82
Muscicapa striata,Grauschnäpper,bw10,2025,2025-05-11,4,non_breeder,131
Muscicapa striata,Grauschnäpper,bw102,2024,2024-04-27,0,non_breeder,118
Muscicapa striata,Grauschnäpper,bw102,2024,2024-03-25,0,non_breeder,85
Muscicapa striata,Grauschnäpper,bw102,2024,2024-05-18,3,non_breeder,139
Muscicapa striata,Grauschnäpper,bw102,2024,2024-06-17,0,non_breeder,169
Muscicapa striata,Grauschnäpper,bw103,2022,2022-03-27,0,non_breeder,86
Muscicapa striata,Grauschnäpper,bw103,2022,2022-04-22,0,non_breeder,112
Muscicapa striata,Grauschnäpper,bw103,2022,2022-05-13,1,non_breeder,133
Muscicapa striata,Grauschnäpper,bw103,2022,2022-06-19,0,non_breeder,170
Muscicapa striata,Grauschnäpper,bw103,2023,2023-04-23,0,non_breeder,113
Muscicapa striata,Grauschnäpper,bw103,2023,2023-05-18,0,non_breeder,138
Muscicapa striata,Grauschnäpper,bw103,2023,2023-06-09,4,non_breeder,160
Muscicapa striata,Grauschnäpper,bw103,2023,2023-03-27,0,non_breeder,86
Muscicapa striata,Grauschnäpper,bw103,2024,2024-05-20,1,non_breeder,141
Muscicapa striata,Grauschnäpper,bw103,2024,2024-06-03,0,non_breeder,155
Muscicapa striata,Grauschnäpper,bw103,2024,2024-03-25,0,non_breeder,85
Muscicapa striata,Grauschnäpper,bw103,2024,2024-04-22,0,non_breeder,113
Muscicapa striata,Grauschnäpper,bw103,2025,2025-06-11,1,non_breeder,162
Muscicapa striata,Grauschnäpper,bw103,2025,2025-03-28,0,non_breeder,87
Muscicapa striata,Grauschnäpper,bw103,2025,2025-04-23,0,non_breeder,113
Muscicapa striata,Grauschnäpper,bw103,2025,2025-05-17,2,non_breeder,137
Muscicapa striata,Grauschnäpper,bw103,2025,2025-05-19,0,non_breeder,139
Muscicapa striata,Grauschnäpper,bw104,2025,2025-05-13,0,non_breeder,133
Muscicapa striata,Grauschnäpper,bw104,2025,2025-06-17,2,non_breeder,168
Muscicapa striata,Grauschnäpper,bw104,2025,2025-04-11,0,non_breeder,101
Muscicapa striata,Grauschnäpper,bw104,2025,2025-03-21,0,non_breeder,80
Muscicapa striata,Grauschnäpper,bw104,2025,2025-04-10,0,non_breeder,100
Muscicapa striata,Grauschnäpper,bw104,2025,2025-05-12,0,non_breeder,132
Muscicapa striata,Grauschnäpper,bw107,2022,2022-04-18,0,non_breeder,108
Muscicapa striata,Grauschnäpper,bw107,2022,2022-03-20,0,non_breeder,79
