NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Oenanthe oenanthe,Steinschmätzer,bw10,2022,2022-06-09,0,non_breeder,160
Oenanthe oenanthe,Steinschmätzer,bw10,2022,2022-05-14,2,non_breeder,134
Oenanthe oenanthe,Steinschmätzer,bw10,2022,2022-03-20,0,non_breeder,79
Oenanthe oenanthe,Steinschmätzer,bw10,2022,2022-04-22,0,non_breeder,112
Oenanthe oenanthe,Steinschmätzer,bw128,2022,2022-04-22,0,non_breeder,112
Oenanthe oenanthe,Steinschmätzer,bw128,2022,2022-05-08,2,non_breeder,128
Oenanthe oenanthe,Steinschmätzer,bw128,2022,2022-03-25,0,non_breeder,84
Oenanthe oenanthe,Steinschmätzer,bw128,2022,2022-06-03,0,non_breeder,154
Oenanthe oenanthe,Steinschmätzer,bw13,2024,2024-04-15,0,non_breeder,106
Oenanthe oenanthe,Steinschmätzer,bw13,2024,2024-06-05,0,non_breeder,157
Oenanthe oenanthe,Steinschmätzer,bw13,2024,2024-03-30,0,non_breeder,90
Oenanthe oenanthe,Steinschmätzer,bw13,2024,2024-05-06,1,non_breeder,127
Oenanthe oenanthe,Steinschmätzer,bw15,2025,2025-03-28,0,non_breeder,87
Oenanthe oenanthe,Steinschmätzer,bw15,2025,2025-04-09,0,non_breeder,99
Oenanthe oenanthe,Steinschmätzer,bw15,2025,2025-05-10,1,non_breeder,130
Oenanthe oenanthe,Steinschmätzer,bw15,2025,2025-06-01,0,non_breeder,152
Oenanthe oenanthe,Steinschmätzer,bw21,2025,2025-03-27,0,non_breeder,86
Oenanthe oenanthe,Steinschmätzer,bw21,2025,2025-04-29,1,non_breeder,119
Oenanthe oenanthe,Steinschmätzer,bw21,2025,2025-05-20,0,non_breeder,140
Oenanthe oenanthe,Steinschmätzer,bw21,2025,2025-06-17,0,non_breeder,168
Oenanthe oenanthe,Steinschmätzer,bw246,2024,2024-03-25,0,non_breeder,85
Oenanthe oenanthe,Steinschmätzer,bw246,2024,2024-04-28,0,non_breeder,119
Oenanthe oenanthe,Steinschmätzer,bw246,2024,2024-05-11,1,non_breeder,132
Oenanthe oenanthe,Steinschmätzer,bw246,2024,2024-06-06,0,non_breeder,158
Oenanthe oenanthe,Steinschmätzer,bw25,2025,2025-03-21,0,non_breeder,80
Oenanthe oenanthe,Steinschmätzer,bw25,2025,2025-04-04,1,non_breeder,94
Oenanthe oenanthe,Steinschmätzer,bw25,2025,2025-05-16,0,non_breeder,136
Oenanthe oenanthe,Steinschmätzer,bw25,2025,2025-06-03,0,non_breeder,154
Oenanthe oenanthe,Steinschmätzer,bw266,2023,2023-04-17,0,non_breeder,107
Oenanthe oenanthe,Steinschmätzer,bw266,2023,2023-06-14,0,non_breeder,165
Oenanthe oenanthe,Steinschmätzer,bw266,2023,2023-05-08,1,non_breeder,128
Oenanthe oenanthe,Steinschmätzer,bw266,2023,2023-03-27,0,non_breeder,86
Oenanthe oenanthe,Steinschmätzer,bw299,2025,2025-05-29,0,non_breeder,149
Oenanthe oenanthe,Steinschmätzer,bw299,2025,2025-04-13,0,non_breeder,103
Oenanthe oenanthe,Steinschmätzer,bw299,2025,2025-05-02,4,non_breeder,122
Oenanthe oenanthe,Steinschmätzer,bw299,2025,2025-03-22,0,non_breeder,81
Oenanthe oenanthe,Steinschmätzer,bw307,2025,2025-03-22,0,non_breeder,81
Oenanthe oenanthe,Steinschmätzer,bw307,2025,2025-04-06,2,non_breeder,96
Oenanthe oenanthe,Steinschmätzer,bw307,2025,2025-05-02,0,non_breeder,122
Oenanthe oenanthe,Steinschmätzer,bw307,2025,2025-05-30,0,non_breeder,150
Oenanthe oenanthe,Steinschmätzer,bw311,2025,2025-05-12,0,non_breeder,132
Oenanthe oenanthe,Steinschmätzer,bw311,2025,2025-06-08,0,non_breeder,159
Oenanthe oenanthe,Steinschmätzer,bw311,2025,2025-03-25,0,non_breeder,84
Oenanthe oenanthe,Steinschmätzer,bw311,2025,2025-04-11,1,non_breeder,101
Oenanthe oenanthe,Steinschmätzer,bw34,2022,2022-05-15,1,non_breeder,135
Oenanthe oenanthe,Steinschmätzer,bw34,2022,2022-03-16,0,non_breeder,75
Oenanthe oenanthe,Steinschmätzer,bw34,2022,2022-06-20,0,non_breeder,171
Oenanthe oenanthe,Steinschmätzer,bw34,2022,2022-04-20,0,non_breeder,110
Oenanthe oenanthe,Steinschmätzer,bw350,2023,2023-03-12,0,non_breeder,71
Oenanthe oenanthe,Steinschmätzer,bw350,2023,2023-04-12,0,non_breeder,102
Oenanthe oenanthe,Steinschmätzer,bw350,2023,2023-05-04,2,non_breeder,124
Oenanthe oenanthe,Steinschmätzer,bw350,2023,2023-06-10,1,non_breeder,161
Oenanthe oenanthe,Steinschmätzer,bw37,2022,2022-04-18,0,non_breeder,108
Oenanthe oenanthe,Steinschmätzer,bw37,2022,2022-05-15,1,non_breeder,135
Oenanthe oenanthe,Steinschmätzer,bw37,2022,2022-03-20,0,non_breeder,79
Oenanthe oenanthe,Steinschmätzer,bw37,2022,2022-06-14,0,non_breeder,165
Oenanthe oenanthe,Steinschmätzer,bw37,2025,2025-05-17,0,non_breeder,137
Oenanthe oenanthe,Steinschmätzer,bw37,2025,2025-03-20,0,non_breeder,79
Oenanthe oenanthe,Steinschmätzer,bw37,2025,2025-04-11,1,non_breeder,101
Oenanthe oenanthe,Steinschmätzer,bw37,2025,2025-06-11,0,non_breeder,162
Oenanthe oenanthe,Steinschmätzer,bw384,2025,2025-05-29,0,non_breeder,149
Oenanthe oenanthe,Steinschmätzer,bw384,2025,2025-05-10,0,non_breeder,130
Oenanthe oenanthe,Steinschmätzer,bw384,2025,2025-03-23,1,non_breeder,82
Oenanthe oenanthe,Steinschmätzer,bw384,2025,2025-04-08,0,non_breeder,98
Oenanthe oenanthe,Steinschmätzer,bw396,2024,2024-03-20,0,non_breeder,80
Oenanthe oenanthe,Steinschmätzer,bw396,2024,2024-05-16,0,non_breeder,137
Oenanthe oenanthe,Steinschmätzer,bw396,2024,2024-04-29,2,non_breeder,120
Oenanthe oenanthe,Steinschmätzer,bw396,2024,2024-06-11,0,non_breeder,163
Oenanthe oenanthe,Steinschmätzer,bw396,2025,2025-04-24,0,non_breeder,114
Oenanthe oenanthe,Steinschmätzer,bw396,2025,2025-05-23,0,non_breeder,143
Oenanthe oenanthe,Steinschmätzer,bw396,2025,2025-05-12,2,non_breeder,132
Oenanthe oenanthe,Steinschmätzer,bw396,2025,2025-03-24,0,non_breeder,83
