NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Pernis apivorus,Wespenbussard,bw391,2023,2023-04-29,0,breeder,119
Pernis apivorus,Wespenbussard,bw391,2023,2023-05-30,3,breeder,150
Pernis apivorus,Wespenbussard,bw391,2023,2023-06-29,1,breeder,180
Pernis apivorus,Wespenbussard,bw391,2023,2023-03-19,0,breeder,78
Pernis apivorus,Wespenbussard,bw391,2024,2024-03-17,0,breeder,77
Pernis apivorus,Wespenbussard,bw391,2024,2024-06-12,1,breeder,164
Pernis apivorus,Wespenbussard,bw391,2024,2024-04-26,0,breeder,117
Pernis apivorus,Wespenbussard,bw391,2024,2024-05-13,1,breeder,134
Pernis apivorus,Wespenbussard,bw391,2025,2025-06-18,1,breeder,169
Pernis apivorus,Wespenbussard,bw391,2025,2025-03-27,0,breeder,86
Pernis apivorus,Wespenbussard,bw391,2025,2025-04-20,0,breeder,110
Pernis apivorus,Wespenbussard,bw391,2025,2025-05-18,1,breeder,138
