NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Phylloscopus sibilatrix,Waldlaubsänger,bw107,2022,2022-04-18,2,non_breeder,108
Phylloscopus sibilatrix,Waldlaubsänger,bw107,2022,2022-03-20,0,non_breeder,79
Phylloscopus sibilatrix,Waldlaubsänger,bw107,2022,2022-06-06,1,non_breeder,157
Phylloscopus sibilatrix,Waldlaubsänger,bw107,2022,2022-05-15,3,non_breeder,135
Phylloscopus sibilatrix,Waldlaubsänger,bw107,2024,2024-05-12,3,non_breeder,133
Phylloscopus sibilatrix,Waldlaubsänger,bw107,2024,2024-06-09,0,non_breeder,161
Phylloscopus sibilatrix,Waldlaubsänger,bw107,2024,2024-03-30,0,non_breeder,90
Phylloscopus sibilatrix,Waldlaubsänger,bw107,2024,2024-05-01,2,non_breeder,122
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2021,2021-03-21,0,non_breeder,80
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2021,2021-04-18,0,non_breeder,108
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2021,2021-05-09,0,non_breeder,129
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2021,2021-05-30,2,non_breeder,150
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2022,2022-03-13,0,non_breeder,72
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2022,2022-04-10,0,non_breeder,100
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2022,2022-06-06,1,non_breeder,157
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2022,2022-05-01,2,non_breeder,121
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2023,2023-03-11,0,non_breeder,70
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2023,2023-04-15,0,non_breeder,105
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2023,2023-05-01,2,non_breeder,121
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2023,2023-06-11,0,non_breeder,162
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2024,2024-03-10,0,non_breeder,70
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2024,2024-05-26,0,non_breeder,147
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2024,2024-04-07,0,non_breeder,98
Phylloscopus sibilatrix,Waldlaubsänger,bw115,2024,2024-05-01,2,non_breeder,122
Phylloscopus sibilatrix,Waldlaubsänger,bw119,2022,2022-04-27,1,non_breeder,117
Phylloscopus sibilatrix,Waldlaubsänger,bw119,2022,2022-03-30,0,non_breeder,89
Phylloscopus sibilatrix,Waldlaubsänger,bw119,2022,2022-06-13,0,non_breeder,164
Phylloscopus sibilatrix,Waldlaubsänger,bw119,2022,2022-05-19,0,non_breeder,139
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2022,2022-05-17,5,non_breeder,137
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2022,2022-03-29,0,non_breeder,88
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2022,2022-04-26,0,non_breeder,116
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2022,2022-06-12,4,non_breeder,163
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2023,2023-04-23,0,non_breeder,113
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2023,2023-05-18,3,non_breeder,138
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2023,2023-03-19,0,non_breeder,78
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2023,2023-06-12,2,non_breeder,163
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2024,2024-06-12,1,non_breeder,164
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2024,2024-04-13,1,non_breeder,104
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2024,2024-03-28,0,non_breeder,88
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2024,2024-05-03,0,non_breeder,124
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2024,2024-05-02,0,non_breeder,123
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2025,2025-03-23,0,non_breeder,82
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2025,2025-05-18,4,non_breeder,138
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2025,2025-06-07,1,non_breeder,158
Phylloscopus sibilatrix,Waldlaubsänger,bw121,2025,2025-04-12,1,non_breeder,102
Phylloscopus sibilatrix,Waldlaubsänger,bw122,2024,2024-04-26,0,non_breeder,117
Phylloscopus sibilatrix,Waldlaubsänger,bw122,2024,2024-03-15,0,non_breeder,75
Phylloscopus sibilatrix,Waldlaubsänger,bw122,2024,2024-05-26,1,non_breeder,147
Phylloscopus sibilatrix,Waldlaubsänger,bw122,2024,2024-06-16,0,non_breeder,168
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2022,2022-03-24,0,non_breeder,83
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2022,2022-04-20,3,non_breeder,110
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2022,2022-05-08,4,non_breeder,128
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2022,2022-06-10,1,non_breeder,161
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2023,2023-03-21,0,non_breeder,80
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2023,2023-04-22,0,non_breeder,112
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2023,2023-05-07,0,non_breeder,127
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2023,2023-06-08,1,non_breeder,159
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2025,2025-03-24,0,non_breeder,83
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2025,2025-04-16,2,non_breeder,106
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2025,2025-05-11,1,non_breeder,131
Phylloscopus sibilatrix,Waldlaubsänger,bw123,2025,2025-06-12,0,non_breeder,163
Phylloscopus sibilatrix,Waldlaubsänger,bw127,2024,2024-05-25,1,non_breeder,146
Phylloscopus sibilatrix,Waldlaubsänger,bw127,2024,2024-04-27,1,non_breeder,118
Phylloscopus sibilatrix,Waldlaubsänger,bw127,2024,2024-03-26,0,non_breeder,86
Phylloscopus sibilatrix,Waldlaubsänger,bw127,2025,2025-04-11,0,non_breeder,101
Phylloscopus sibilatrix,Waldlaubsänger,bw127,2025,2025-05-05,5,non_breeder,125
Phylloscopus sibilatrix,Waldlaubsänger,bw127,2025,2025-03-22,0,non_breeder,81
Phylloscopus sibilatrix,Waldlaubsänger,bw127,2025,2025-05-23,7,non_breeder,143
Phylloscopus sibilatrix,Waldlaubsänger,bw128,2020,2020-04-18,0,non_breeder,109
Phylloscopus sibilatrix,Waldlaubsänger,bw128,2020,2020-06-20,1,non_breeder,172
Phylloscopus sibilatrix,Waldlaubsänger,bw128,2020,2020-03-28,0,non_breeder,88
Phylloscopus sibilatrix,Waldlaubsänger,bw128,2020,2020-05-19,1,non_breeder,140
Phylloscopus sibilatrix,Waldlaubsänger,bw128,2022,2022-04-22,1,non_breeder,112
Phylloscopus sibilatrix,Waldlaubsänger,bw128,2022,2022-05-08,0,non_breeder,128
Phylloscopus sibilatrix,Waldlaubsänger,bw128,2022,2022-03-25,0,non_breeder,84
Phylloscopus sibilatrix,Waldlaubsänger,bw128,2022,2022-06-03,0,non_breeder,154
Phylloscopus sibilatrix,Waldlaubsänger,bw129,2022,2022-03-24,0,non_breeder,83
Phylloscopus sibilatrix,Waldlaubsänger,bw129,2022,2022-04-18,0,non_breeder,108
Phylloscopus sibilatrix,Waldlaubsänger,bw129,2022,2022-05-28,1,non_breeder,148
Phylloscopus sibilatrix,Waldlaubsänger,bw129,2022,2022-05-08,2,non_breeder,128
Phylloscopus sibilatrix,Waldlaubsänger,bw129,2023,2023-05-13,3,non_breeder,133
Phylloscopus sibilatrix,Waldlaubsänger,bw129,2023,2023-05-30,1,non_breeder,150
