NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Streptopelia turtur,Turteltaube,bw10,2022,2022-06-09,4,non_breeder,160
Streptopelia turtur,Turteltaube,bw10,2022,2022-05-14,1,non_breeder,134
Streptopelia turtur,Turteltaube,bw10,2022,2022-03-20,0,non_breeder,79
Streptopelia turtur,Turteltaube,bw10,2022,2022-04-22,0,non_breeder,112
Streptopelia turtur,Turteltaube,bw10,2023,2023-04-30,3,non_breeder,120
Streptopelia turtur,Turteltaube,bw10,2023,2023-05-14,4,non_breeder,134
Streptopelia turtur,Turteltaube,bw10,2023,2023-05-27,5,non_breeder,147
Streptopelia turtur,Turteltaube,bw10,2023,2023-03-18,0,non_breeder,77
Streptopelia turtur,Turteltaube,bw10,2024,2024-06-08,0,non_breeder,160
Streptopelia turtur,Turteltaube,bw10,2024,2024-03-11,0,non_breeder,71
Streptopelia turtur,Turteltaube,bw10,2024,2024-04-05,0,non_breeder,96
Streptopelia turtur,Turteltaube,bw10,2024,2024-05-04,2,non_breeder,125
Streptopelia turtur,Turteltaube,bw10,2024,2024-04-04,0,non_breeder,95
Streptopelia turtur,Turteltaube,bw10,2025,2025-04-16,0,non_breeder,106
Streptopelia turtur,Turteltaube,bw10,2025,2025-05-31,6,non_breeder,151
Streptopelia turtur,Turteltaube,bw10,2025,2025-03-23,0,non_breeder,82
Streptopelia turtur,Turteltaube,bw10,2025,2025-05-11,1,non_breeder,131
Streptopelia turtur,Turteltaube,bw107,2024,2024-05-12,2,non_breeder,133
Streptopelia turtur,Turteltaube,bw107,2024,2024-06-09,0,non_breeder,161
Streptopelia turtur,Turteltaube,bw107,2024,2024-03-30,0,non_breeder,90
Streptopelia turtur,Turteltaube,bw107,2024,2024-05-01,0,non_breeder,122
Streptopelia turtur,Turteltaube,bw143,2025,2025-04-19,0,non_breeder,109
Streptopelia turtur,Turteltaube,bw143,2025,2025-03-22,0,non_breeder,81
Streptopelia turtur,Turteltaube,bw143,2025,2025-05-10,0,non_breeder,130
Streptopelia turtur,Turteltaube,bw143,2025,2025-06-08,3,non_breeder,159
Streptopelia turtur,Turteltaube,bw18,2022,2022-04-22,0,non_breeder,112
Streptopelia turtur,Turteltaube,bw18,2022,2022-05-12,0,non_breeder,132
Streptopelia turtur,Turteltaube,bw18,2022,2022-03-15,0,non_breeder,74
Streptopelia turtur,Turteltaube,bw18,2022,2022-06-21,1,non_breeder,172
Streptopelia turtur,Turteltaube,bw25,2022,2022-06-18,1,non_breeder,169
Streptopelia turtur,Turteltaube,bw25,2022,2022-03-27,0,non_breeder,86
Streptopelia turtur,Turteltaube,bw25,2022,2022-04-10,0,non_breeder,100
Streptopelia turtur,Turteltaube,bw25,2022,2022-05-01,0,non_breeder,121
Streptopelia turtur,Turteltaube,bw25,2024,2024-05-12,1,non_breeder,133
Streptopelia turtur,Turteltaube,bw25,2024,2024-05-26,1,non_breeder,147
Streptopelia turtur,Turteltaube,bw25,2024,2024-03-20,0,non_breeder,80
Streptopelia turtur,Turteltaube,bw25,2024,2024-04-07,0,non_breeder,98
Streptopelia turtur,Turteltaube,bw25,2025,2025-03-21,0,non_breeder,80
Streptopelia turtur,Turteltaube,bw25,2025,2025-04-04,0,non_breeder,94
Streptopelia turtur,Turteltaube,bw25,2025,2025-05-16,1,non_breeder,136
Streptopelia turtur,Turteltaube,bw25,2025,2025-06-03,0,non_breeder,154
Streptopelia turtur,Turteltaube,bw257,2022,2022-03-27,0,non_breeder,86
Streptopelia turtur,Turteltaube,bw257,2022,2022-04-16,0,non_breeder,106
Streptopelia turtur,Turteltaube,bw257,2022,2022-05-09,0,non_breeder,129
Streptopelia turtur,Turteltaube,bw257,2022,2022-06-06,1,non_breeder,157
Streptopelia turtur,Turteltaube,bw257,2024,2024-03-22,0,non_breeder,82
Streptopelia turtur,Turteltaube,bw257,2024,2024-05-07,0,non_breeder,128
Streptopelia turtur,Turteltaube,bw257,2024,2024-05-26,1,non_breeder,147
Streptopelia turtur,Turteltaube,bw257,2024,2024-04-12,0,non_breeder,103
Streptopelia turtur,Turteltaube,bw257,2025,2025-05-30,1,non_breeder,150
Streptopelia turtur,Turteltaube,bw257,2025,2025-03-24,0,non_breeder,83
Streptopelia turtur,Turteltaube,bw257,2025,2025-04-15,0,non_breeder,105
Streptopelia turtur,Turteltaube,bw257,2025,2025-05-07,0,non_breeder,127
Streptopelia turtur,Turteltaube,bw262,2024,2024-03-10,0,non_breeder,70
Streptopelia turtur,Turteltaube,bw262,2024,2024-06-07,0,non_breeder,159
Streptopelia turtur,Turteltaube,bw262,2024,2024-05-10,1,non_breeder,131
Streptopelia turtur,Turteltaube,bw262,2024,2024-04-07,0,non_breeder,98
Streptopelia turtur,Turteltaube,bw263,2021,2021-06-04,1,non_breeder,155
Streptopelia turtur,Turteltaube,bw263,2021,2021-03-30,0,non_breeder,89
Streptopelia turtur,Turteltaube,bw263,2021,2021-04-17,0,non_breeder,107
Streptopelia turtur,Turteltaube,bw263,2022,2022-05-15,1,non_breeder,135
Streptopelia turtur,Turteltaube,bw263,2022,2022-06-04,0,non_breeder,155
Streptopelia turtur,Turteltaube,bw263,2022,2022-04-22,0,non_breeder,112
Streptopelia turtur,Turteltaube,bw263,2022,2022-03-20,0,non_breeder,79
Streptopelia turtur,Turteltaube,bw263,2025,2025-06-12,0,non_breeder,163
Streptopelia turtur,Turteltaube,bw263,2025,2025-04-19,0,non_breeder,109
Streptopelia turtur,Turteltaube,bw263,2025,2025-05-11,1,non_breeder,131
Streptopelia turtur,Turteltaube,bw263,2025,2025-03-30,0,non_breeder,89
Streptopelia turtur,Turteltaube,bw265,2021,2021-03-27,0,non_breeder,86
Streptopelia turtur,Turteltaube,bw265,2021,2021-04-24,0,non_breeder,114
Streptopelia turtur,Turteltaube,bw265,2021,2021-06-19,1,non_breeder,170
Streptopelia turtur,Turteltaube,bw265,2021,2021-05-15,0,non_breeder,135
Streptopelia turtur,Turteltaube,bw265,2022,2022-06-06,3,non_breeder,157
Streptopelia turtur,Turteltaube,bw265,2022,2022-03-26,0,non_breeder,85
Streptopelia turtur,Turteltaube,bw265,2022,2022-04-16,1,non_breeder,106
Streptopelia turtur,Turteltaube,bw265,2022,2022-05-15,1,non_breeder,135
Streptopelia turtur,Turteltaube,bw265,2023,2023-04-15,0,non_breeder,105
Streptopelia turtur,Turteltaube,bw265,2023,2023-03-31,0,non_breeder,90
Streptopelia turtur,Turteltaube,bw265,2023,2023-06-11,1,non_breeder,162
Streptopelia turtur,Turteltaube,bw265,2023,2023-05-12,0,non_breeder,132
Streptopelia turtur,Turteltaube,bw265,2025,2025-05-11,2,non_breeder,131
Streptopelia turtur,Turteltaube,bw265,2025,2025-03-30,0,non_breeder,89
Streptopelia turtur,Turteltaube,bw265,2025,2025-06-14,1,non_breeder,165
Streptopelia turtur,Turteltaube,bw265,2025,2025-04-27,0,non_breeder,117
Streptopelia turtur,Turteltaube,bw275,2024,2024-03-25,0,non_breeder,85
Streptopelia turtur,Turteltaube,bw275,2024,2024-04-27,0,non_breeder,118
Streptopelia turtur,Turteltaube,bw275,2024,2024-05-18,3,non_breeder,139
Streptopelia turtur,Turteltaube,bw275,2024,2024-06-10,2,non_breeder,162
Streptopelia turtur,Turteltaube,bw290,2024,2024-03-24,0,non_breeder,84
Streptopelia turtur,Turteltaube,bw290,2024,2024-04-11,0,non_breeder,102
Streptopelia turtur,Turteltaube,bw290,2024,2024-05-15,3,non_breeder,136
Streptopelia turtur,Turteltaube,bw290,2024,2024-05-31,0,non_breeder,152
Streptopelia turtur,Turteltaube,bw316,2024,2024-05-16,0,non_breeder,137
Streptopelia turtur,Turteltaube,bw316,2024,2024-06-17,1,non_breeder,169
Streptopelia turtur,Turteltaube,bw316,2024,2024-03-25,0,non_breeder,85
Streptopelia turtur,Turteltaube,bw316,2024,2024-04-24,0,non_breeder,115
Streptopelia turtur,Turteltaube,bw318,2024,2024-03-17,0,non_breeder,77
Streptopelia turtur,Turteltaube,bw318,2024,2024-04-28,0,non_breeder,119
Streptopelia turtur,Turteltaube,bw318,2024,2024-05-12,0,non_breeder,133
Streptopelia turtur,Turteltaube,bw318,2024,2024-06-16,1,non_breeder,168
Streptopelia turtur,Turteltaube,bw318,2025,2025-06-09,1,non_breeder,160
Streptopelia turtur,Turteltaube,bw318,2025,2025-03-16,0,non_breeder,75
Streptopelia turtur,Turteltaube,bw318,2025,2025-04-23,0,non_breeder,113
Streptopelia turtur,Turteltaube,bw318,2025,2025-05-17,0,non_breeder,137
Streptopelia turtur,Turteltaube,bw329,2021,2021-04-22,0,non_breeder,112
Streptopelia turtur,Turteltaube,bw329,2021,2021-05-09,1,non_breeder,129
Streptopelia turtur,Turteltaube,bw329,2021,2021-06-20,0,non_breeder,171
Streptopelia turtur,Turteltaube,bw329,2021,2021-03-21,0,non_breeder,80
Streptopelia turtur,Turteltaube,bw329,2022,2022-03-19,0,non_breeder,78
Streptopelia turtur,Turteltaube,bw329,2022,2022-05-10,0,non_breeder,130
Streptopelia turtur,Turteltaube,bw329,2022,2022-06-07,2,non_breeder,158
Streptopelia turtur,Turteltaube,bw329,2022,2022-04-10,0,non_breeder,100
Streptopelia turtur,Turteltaube,bw36,2022,2022-06-16,0,non_breeder,167
Streptopelia turtur,Turteltaube,bw36,2022,2022-05-07,1,non_breeder,127
Streptopelia turtur,Turteltaube,bw36,2022,2022-04-18,0,non_breeder,108
Streptopelia turtur,Turteltaube,bw36,2022,2022-03-19,0,non_breeder,78
Streptopelia turtur,Turteltaube,bw36,2024,2024-05-26,2,non_breeder,147
Streptopelia turtur,Turteltaube,bw36,2024,2024-05-01,1,non_breeder,122
Streptopelia turtur,Turteltaube,bw36,2024,2024-03-30,0,non_breeder,90
Streptopelia turtur,Turteltaube,bw36,2024,2024-04-13,0,non_breeder,104
Streptopelia turtur,Turteltaube,bw42,2025,2025-05-20,0,non_breeder,140
Streptopelia turtur,Turteltaube,bw42,2025,2025-03-28,1,non_breeder,87
Streptopelia turtur,Turteltaube,bw42,2025,2025-04-30,0,non_breeder,120
Streptopelia turtur,Turteltaube,bw42,2025,2025-06-10,0,non_breeder,161
Streptopelia turtur,Turteltaube,bw42,2025,2025-06-09,0,non_breeder,160
Streptopelia turtur,Turteltaube,bw54,2023,2023-04-26,1,non_breeder,116
Streptopelia turtur,Turteltaube,bw54,2023,2023-05-20,0,non_breeder,140
